factuur_id,factuurnummer,klant_id,project_id,datum,vervaldatum,bedrag_excl_btw,bedrag_btw,bedrag_incl_btw,status,is_creditfactuur
1,F2023-00001,48,88,2023-08-06,2023-09-05,1151.7,241.85,1393.55,Achterstallig,0
2,F2025-00002,24,40,2025-07-07,2025-08-06,1486.4,312.13,1798.53,Betaald,0
3,F2024-00003,38,97,2024-07-16,2024-07-30,1595.8,335.12,1930.92,Betaald,0
4,F2026-00004,53,26,2026-01-13,2026-02-27,1368.65,287.42,1656.07,Betaald,0
5,F2023-00005,30,143,2023-10-20,2023-12-04,94.8,19.91,114.71,Betaald,0
6,F2026-00006,46,70,2026-04-25,2026-05-25,1258.0,264.18,1522.18,Betaald,0
7,F2024-00007,15,,2024-04-12,2024-04-26,3030.8,636.47,3667.27,Betaald,0
8,F2023-00008,76,112,2023-09-26,2023-11-10,648.8,136.25,785.05,Betaald,0
9,F2023-00009,31,19,2023-03-01,2023-04-30,1675.0,351.75,2026.75,Betaald,0
10,F2023-00010,39,,2023-06-08,2023-08-07,394.3,82.8,477.1,Achterstallig,0
11,F2024-00011,34,117,2024-08-12,2024-09-26,388.5,81.58,470.08,Betaald,0
12,F2023-00012,29,,2023-02-16,2023-03-18,878.0,184.38,1062.38,Betaald,0
13,F2025-00013,29,,2025-06-29,2025-07-29,1350.65,283.63,1634.28,Betaald,0
14,F2024-00014,42,,2024-12-06,2024-12-20,3315.8,696.32,4012.12,Betaald,0
15,F2024-00015,7,140,2024-09-02,2024-10-17,1139.25,239.25,1378.5,Betaald,0
16,F2023-00016,6,107,2023-06-19,2023-08-18,0.0,0.0,0.0,Betaald,0
17,F2024-00017,9,36,2024-09-04,2024-10-04,2064.5,433.55,2498.05,Betaald,0
18,F2024-00018,51,128,2024-08-28,2024-09-11,116.75,24.52,141.27,Betaald,0
19,F2024-00019,19,2,2024-05-28,2024-06-27,20.0,4.2,24.2,Betaald,0
20,F2024-00020,43,,2024-12-01,2024-12-15,1840.0,386.4,2226.4,Betaald,0
21,F2024-00021,21,62,2024-07-22,2024-09-05,879.35,184.66,1064.01,Betaald,0
22,F2024-00022,24,138,2024-03-31,2024-04-30,1543.5,324.13,1867.63,Achterstallig,0
23,F2025-00023,18,,2025-06-10,2025-07-25,1233.3,258.98,1492.28,Betaald,0
24,F2024-00024,46,,2024-05-08,2024-06-07,4779.2,1003.62,5782.82,Betaald,0
25,F2026-00025,30,137,2026-04-15,2026-05-30,1329.2,279.12,1608.32,Openstaand,0
26,F2024-00026,31,126,2024-05-13,2024-07-12,475.0,99.75,574.75,Betaald,0
27,F2024-00027,49,95,2024-07-29,2024-09-12,221.8,46.58,268.38,Betaald,0
28,F2024-00028,45,99,2024-03-20,2024-05-04,1003.3,210.68,1213.98,Betaald,0
29,F2024-00029,38,27,2024-12-23,2025-01-06,115.2,24.19,139.39,Betaald,0
30,F2023-00030,44,108,2023-04-30,2023-06-14,33.0,6.93,39.93,Betaald,0
31,F2025-00031,42,19,2025-09-03,2025-09-17,1709.35,358.96,2068.31,Betaald,0
32,F2024-00032,27,125,2024-11-17,2024-12-01,273.0,57.33,330.33,Betaald,0
33,F2024-00033,67,57,2024-08-05,2024-09-19,934.0,196.13,1130.13,Betaald,0
34,F2026-00034,32,39,2026-03-12,2026-05-11,533.1,111.95,645.05,Betaald,0
35,F2025-00035,49,123,2025-02-17,2025-04-03,2369.2,497.53,2866.73,Achterstallig,0
36,F2025-00036,27,71,2025-12-08,2025-12-22,3006.3,631.32,3637.62,Betaald,0
37,F2025-00037,19,89,2025-09-26,2025-10-26,928.7,195.03,1123.73,Betaald,0
38,F2025-00038,50,113,2025-08-19,2025-09-18,2121.4,445.49,2566.89,Betaald,0
39,F2023-00039,41,146,2023-01-12,2023-02-26,129.75,27.25,157.0,Betaald,0
40,F2025-00040,54,,2025-10-05,2025-10-19,1366.45,286.95,1653.4,Betaald,0
41,F2023-00041,24,127,2023-10-29,2023-11-28,1294.3,271.8,1566.1,Achterstallig,0
42,F2026-00042,64,,2026-03-07,2026-04-06,1239.7,260.34,1500.04,Betaald,0
43,F2023-00043,68,37,2023-10-02,2023-11-16,749.25,157.34,906.59,Betaald,0
44,F2023-00044,41,103,2023-05-12,2023-06-26,4748.6,997.2,5745.8,Betaald,0
45,F2023-00045,4,133,2023-04-11,2023-04-25,2518.4,528.87,3047.27,Betaald,0
46,F2025-00046,28,98,2025-05-16,2025-06-30,96.3,20.22,116.52,Achterstallig,0
47,F2025-00047,70,22,2025-04-10,2025-06-09,3108.35,652.76,3761.11,Betaald,0
48,F2026-00048,36,49,2026-03-09,2026-05-08,347.4,72.95,420.35,Achterstallig,0
49,F2025-00049,28,1,2025-02-05,2025-03-22,253.4,53.21,306.61,Betaald,0
50,F2025-00050,45,,2025-12-22,2026-02-05,4141.8,869.77,5011.57,Betaald,0
51,F2024-00051,35,131,2024-05-10,2024-07-09,2453.35,515.21,2968.56,Betaald,0
52,F2024-00052,62,13,2024-09-27,2024-11-26,1381.5,290.11,1671.61,Betaald,0
53,F2025-00053,37,,2025-07-05,2025-09-03,3031.5,636.61,3668.11,Achterstallig,0
54,F2025-00054,14,144,2025-04-09,2025-06-08,5957.7,1251.11,7208.81,Betaald,0
55,F2025-00055,61,134,2025-02-28,2025-04-14,189.6,39.82,229.42,Betaald,0
56,F2026-00056,43,92,2026-01-03,2026-01-17,2645.0,555.46,3200.46,Betaald,0
57,F2023-00057,37,25,2023-11-23,2024-01-22,4514.3,948.0,5462.3,Betaald,0
58,F2025-00058,71,52,2025-09-20,2025-11-19,352.0,73.92,425.92,Betaald,0
59,F2025-00059,23,144,2025-09-07,2025-09-21,2282.55,479.33,2761.88,Achterstallig,0
60,F2023-00060,31,49,2023-01-10,2023-03-11,644.0,135.24,779.24,Achterstallig,0
61,F2023-00061,17,,2023-01-17,2023-01-31,1365.0,286.65,1651.65,Betaald,0
62,F2023-00062,59,,2023-08-26,2023-09-25,488.0,102.48,590.48,Betaald,0
63,F2023-00063,8,19,2023-01-18,2023-02-01,314.5,66.05,380.55,Betaald,0
64,F2024-00064,38,,2024-08-17,2024-08-31,675.0,141.75,816.75,Betaald,0
65,F2025-00065,13,150,2025-05-24,2025-07-08,3078.0,646.37,3724.37,Betaald,0
66,F2024-00066,31,5,2024-02-03,2024-04-03,2680.9,562.98,3243.88,Betaald,0
67,F2024-00067,26,20,2024-01-09,2024-02-08,1857.4,390.04,2247.44,Betaald,0
68,F2023-00068,7,,2023-08-22,2023-10-06,1810.6,380.21,2190.81,Betaald,0
69,F2023-00069,5,54,2023-10-03,2023-10-17,2221.5,466.51,2688.01,Achterstallig,0
70,F2023-00070,63,147,2023-07-02,2023-07-16,2222.8,466.79,2689.59,Betaald,0
71,F2024-00071,37,54,2024-05-06,2024-07-05,568.0,119.28,687.28,Betaald,0
72,F2023-00072,47,101,2023-10-27,2023-12-11,4367.0,917.07,5284.07,Betaald,0
73,F2025-00073,70,97,2025-03-12,2025-05-11,16.9,3.55,20.45,Betaald,0
74,F2023-00074,27,52,2023-10-21,2023-11-04,3310.65,695.22,4005.87,Betaald,0
75,F2023-00075,12,14,2023-04-30,2023-05-14,1653.65,347.26,2000.91,Achterstallig,0
76,F2023-00076,6,,2023-12-22,2024-02-20,110.55,23.22,133.77,Betaald,0
77,F2023-00077,80,68,2023-04-14,2023-06-13,4312.0,905.52,5217.52,Betaald,0
78,F2023-00078,67,,2023-05-17,2023-07-01,4910.9,1031.3,5942.2,Betaald,0
79,F2026-00079,45,63,2026-01-28,2026-03-14,2268.0,476.28,2744.28,Betaald,0
80,F2025-00080,58,143,2025-10-28,2025-12-27,2052.6,431.05,2483.65,Betaald,0
81,F2025-00081,63,,2025-05-24,2025-06-07,5084.0,1067.64,6151.64,Betaald,0
82,F2023-00082,4,42,2023-06-29,2023-07-13,1082.0,227.22,1309.22,Betaald,0
83,F2025-00083,25,102,2025-07-05,2025-08-19,375.8,78.92,454.72,Betaald,0
84,F2024-00084,60,82,2024-08-19,2024-10-18,903.8,189.8,1093.6,Betaald,0
85,F2026-00085,25,7,2026-02-14,2026-03-31,1767.0,371.07,2138.07,Achterstallig,0
86,F2025-00086,14,49,2025-03-04,2025-05-03,2715.45,570.23,3285.68,Betaald,0
87,F2025-00087,40,93,2025-12-12,2026-02-10,1387.0,291.27,1678.27,Betaald,0
88,F2025-00088,24,126,2025-12-06,2026-01-05,1163.1,244.25,1407.35,Betaald,0
89,F2023-00089,16,4,2023-07-28,2023-09-11,63.6,13.36,76.96,Betaald,0
90,F2023-00090,36,,2023-12-17,2024-02-15,1300.9,273.18,1574.08,Betaald,0
91,F2025-00091,3,128,2025-02-26,2025-03-12,1884.9,395.83,2280.73,Betaald,0
92,F2023-00092,37,24,2023-02-20,2023-04-21,3474.7,729.68,4204.38,Betaald,0
93,F2024-00093,47,66,2024-09-14,2024-10-29,3733.0,783.94,4516.94,Betaald,0
94,F2024-00094,66,,2024-02-11,2024-02-25,3130.5,657.39,3787.89,Betaald,0
95,F2025-00095,28,,2025-06-08,2025-07-23,4039.6,848.31,4887.91,Achterstallig,0
96,F2024-00096,38,,2024-05-14,2024-05-28,1607.9,337.66,1945.56,Achterstallig,0
97,F2024-00097,56,7,2024-11-21,2024-12-21,1151.1,241.72,1392.82,Betaald,0
98,F2024-00098,23,115,2024-02-06,2024-02-20,0.0,0.0,0.0,Betaald,0
99,F2024-00099,41,,2024-07-06,2024-08-20,1668.7,350.42,2019.12,Betaald,0
100,F2024-00100,39,144,2024-12-04,2025-02-02,-60.0,-12.6,-72.6,Gecrediteerd,1
101,F2023-00101,30,68,2023-05-13,2023-06-27,4414.5,927.04,5341.54,Achterstallig,0
102,F2023-00102,15,8,2023-10-19,2023-11-02,1371.0,287.9,1658.9,Betaald,0
103,F2024-00103,24,94,2024-12-05,2025-01-04,1582.15,332.25,1914.4,Betaald,0
104,F2023-00104,78,21,2023-06-15,2023-08-14,680.1,142.81,822.91,Betaald,0
105,F2025-00105,18,,2025-08-28,2025-10-12,921.2,193.45,1114.65,Betaald,0
106,F2023-00106,55,26,2023-12-08,2023-12-22,835.4,175.43,1010.83,Betaald,0
107,F2023-00107,51,16,2023-11-24,2023-12-08,-1560.8,-327.77,-1888.57,Gecrediteerd,1
108,F2024-00108,80,127,2024-11-19,2025-01-18,88.8,18.65,107.45,Betaald,0
109,F2023-00109,70,108,2023-10-20,2023-12-19,1150.5,241.6,1392.1,Betaald,0
110,F2024-00110,5,,2024-09-23,2024-10-07,78.0,16.38,94.38,Achterstallig,0
111,F2025-00111,19,77,2025-01-26,2025-02-25,1855.8,389.72,2245.52,Betaald,0
112,F2025-00112,61,120,2025-01-10,2025-02-24,311.5,65.41,376.91,Betaald,0
