project_id,naam,klant_id,status,startdatum,einddatum,geoffreerd_bedrag,omschrijving
1,Project Facilitate Web-Enabled Synergies,24,Lopend,2023-11-19,2023-12-08,33646.87,Rijst vrijheid vergelijking richting.
2,Project Orchestrate E-Business Mindshare,52,Afgerond,2023-05-21,2023-10-25,2844.65,Sorry bord gevangenis gedragen zorg.
3,Project Envisioneer Back-End Bandwidth,80,Afgerond,2023-09-03,2024-01-31,8994.43,Boord drogen baby halen uit.
4,Project Harness Cutting-Edge Initiatives,41,Afgerond,2023-06-17,2023-10-07,23179.37,Verschil voorkomen achter daarom publiek.
5,Project Facilitate Synergistic Systems,34,Afgerond,2024-06-18,2024-08-14,23605.55,Goed start kijken ijs broer kopen lucht vergelijking scherp medicijn land.
6,Project Matrix Frictionless Initiatives,41,Afgerond,2025-03-21,2025-04-28,23673.31,Schouder beker willen dochter lach oranje.
7,Project Exploit Visionary Roi,13,Geannuleerd,2023-05-29,2023-06-05,16310.85,Kleden kaas andere sap vergissen zij comfortabel warm brief kunnen bed.
8,Project Morph Turn-Key Synergies,45,Afgerond,2023-05-31,2023-10-20,7853.82,Te ooit oneven zinken richting ieder nacht schudden boerderij reiken.
9,Project Incentivize Compelling Convergence,70,Lopend,2023-05-21,2023-07-27,13248.68,Deksel veranderen voorzien per activiteit west moeder makkelijk.
10,Project Synthesize Frictionless Partnerships,68,Afgerond,2024-09-11,2025-02-19,34442.94,Hoewel houden groen moeilijk nul klasse vanmorgen bieden liggen.
11,Project Maximize Customized Infrastructures,14,Afgerond,2023-01-17,2023-07-11,28690.09,Liniaal bruiloft min rapport borstelen kunst offer aan blijven.
12,Project Expedite Seamless Mindshare,71,Lopend,2023-10-03,2023-12-14,4482.29,Extreem rijst wolk kap begrijpen gebeuren los om plaat manier.
13,Project Repurpose Bricks-And-Clicks Systems,44,Lopend,2023-11-15,2024-01-28,10220.59,Boom redden aanraken jullie populair.
14,Project Exploit Distributed Schemas,63,Afgerond,2024-02-21,2024-08-19,22381.21,Kind boven vouwen middel vechten stil kruis gevaarlijk einde bui.
15,Project Iterate Impactful E-Tailers,36,Afgerond,2024-05-29,2024-06-16,3684.3,Veilig eeuw idee suiker bedekken populair rijzen buren voorzichtig.
16,Project Target Global Models,34,Lopend,2023-04-01,2023-04-06,12007.7,Nek bedreven wetenschap vergissen.
17,Project Syndicate Virtual Applications,2,Afgerond,2023-11-27,2024-03-24,19532.97,Staal chocolade knie paard voet modern.
18,Project Synergize Next-Generation Metrics,20,Afgerond,2023-08-18,2023-09-11,33104.26,Grappig zeil ziekenhuis lood conditie kunst schudden.
19,Project Extend Seamless Schemas,19,Afgerond,2026-01-22,2026-02-05,29293.53,Slot wetenschap poort enkele plant halen in rijzen.
20,Project Unleash Virtual Mindshare,6,Afgerond,2025-05-30,2025-07-06,1943.1,School honderd brood jong meer ontdekken restaurant lachen stom verjaardag.
21,Project Envisioneer Cutting-Edge Synergies,46,Afgerond,2025-01-02,2025-03-01,24031.3,Boven klein begin behalve glimlach tijd zomer samen deel belofte.
22,Project Generate Distributed E-Tailers,31,Afgerond,2025-04-12,2025-09-22,26356.98,Antwoorden van borstelen vijand ster vet stil oma geliefde tien.
23,Project Exploit Front-End Web Services,43,Offerte,2023-11-29,2024-01-18,30908.86,Weer knie zacht zilver hier.
24,Project Engage Scalable Synergies,35,Afgerond,2025-04-23,2025-10-16,30310.21,Eten vijand verwachten liegen geboorte populair sleutel.
25,Project Disintermediate 24/365 Solutions,61,Offerte,2023-11-23,2023-12-25,13697.69,Links zomer bewegen zeggen steen bruin bad.
26,Project Empower Back-End Channels,40,Afgerond,2024-03-31,2024-05-26,28672.24,Op gevangenis houden sleutel diep dienen.
27,Project Harness Scalable Functionalities,43,Lopend,2024-04-11,2024-06-12,1316.42,Verkopen helder toename nul beter slapen natuur zacht naam titel dochter.
28,Project Incubate Wireless Infrastructures,66,Afgerond,2024-07-24,2024-08-15,33857.67,Gat film huilen kans fris structuur nek zwaar.
29,Project Transition Value-Added Initiatives,4,Afgerond,2025-03-29,2025-09-23,34349.66,Lijk vriezen perfect plaats zand ruimte hoewel wachten.
30,Project Embrace Integrated Portals,34,Geannuleerd,2023-08-25,2023-11-04,6660.59,Sorry als munt tegen moorden mogelijk mengsel hart radio hoewel.
