regel_id,factuur_id,product_id,omschrijving,aantal,eenheidsprijs,btw_tarief,bedrag_excl_btw,bedrag_btw
1,1,15,Tuinaanleg,7.6,25.0,0.21,190.0,39.9
2,1,22,Schuurpapier (set),18.4,12.0,0.21,220.8,46.37
3,1,7,Houtrot herstel,7.9,75.0,0.21,592.5,124.42
4,1,25,Houtbeschermingsproduct (liter),10.6,14.0,0.21,148.4,31.16
5,2,13,Kleuradvies,3.5,65.0,0.21,227.5,47.77
6,2,21,Materiaal grondverf (liter),7.9,6.0,0.21,47.4,9.95
7,2,12,Lakken kozijnen,1.5,45.0,0.21,67.5,14.17
8,2,13,Kleuradvies,17.6,65.0,0.21,1144.0,240.24
9,3,21,Materiaal grondverf (liter),19.2,6.0,0.21,115.2,24.19
10,3,14,Snoeien en onderhoud,17.4,60.0,0.21,1044.0,219.24
11,3,9,Gevelreiniging,1.8,8.0,0.21,14.4,3.02
12,3,23,Kwasten en rollers (set),10.7,18.0,0.21,192.6,40.45
13,3,25,Houtbeschermingsproduct (liter),16.4,14.0,0.21,229.6,48.22
14,4,5,Behangen,11.2,22.0,0.21,246.4,51.74
15,4,1,Advies en consultancy,10.0,95.0,0.21,950.0,199.5
16,4,6,Stucwerk,4.7,35.0,0.21,164.5,34.55
17,4,24,Afplakfolie (m²),3.1,2.5,0.21,7.75,1.63
18,5,10,Dakgoot behandeling,1.3,12.0,0.21,15.6,3.28
19,5,9,Gevelreiniging,9.9,8.0,0.21,79.2,16.63
20,6,2,Projectbegeleiding,14.8,85.0,0.21,1258.0,264.18
21,7,4,Uitvoering schilderwerk binnen,18.8,14.0,0.21,263.2,55.27
22,7,12,Lakken kozijnen,13.7,45.0,0.21,616.5,129.47
23,7,27,Steiger huur (dag),17.2,85.0,0.21,1462.0,307.02
24,7,25,Houtbeschermingsproduct (liter),7.0,14.0,0.21,98.0,20.58
25,7,11,Grondverf aanbrengen,19.4,6.5,0.21,126.1,26.48
26,7,15,Tuinaanleg,18.6,25.0,0.21,465.0,97.65
27,8,4,Uitvoering schilderwerk binnen,13.2,14.0,0.21,184.8,38.81
28,8,30,Omzetbelasting correctie,13.6,0.0,0.09,0.0,0.0
29,8,16,Bestrating,11.6,40.0,0.21,464.0,97.44
30,9,29,Cursus veiligheid op hoogte,6.7,250.0,0.21,1675.0,351.75
31,10,26,Kitten en afdichtmiddel (stuk),15.5,9.0,0.21,139.5,29.29
32,10,25,Houtbeschermingsproduct (liter),18.2,14.0,0.21,254.8,53.51
