inkoop_id,inkoopnummer,leverancier_id,datum,vervaldatum,omschrijving,bedrag_excl_btw,btw_tarief,bedrag_btw,bedrag_incl_btw,status
1,INK2023-00001,2,2023-08-27,2023-09-10,Rest winnen recht hen nieuw kijken papa oranje.,285.19,0.09,25.67,310.86,Betaald
2,INK2023-00002,19,2023-09-04,2023-09-18,Druk dat avond bijna.,4359.48,0.21,915.49,5274.97,Betaald
3,INK2026-00003,13,2026-03-23,2026-05-07,Bellen kleden gevaarlijk prins buren.,6385.35,0.21,1340.92,7726.27,Achterstallig
4,INK2024-00004,1,2024-04-11,2024-04-25,Vader brengen blij lamp opeens eerste.,5236.09,0.09,471.25,5707.34,Betaald
5,INK2026-00005,5,2026-02-07,2026-03-09,Gelijk avondeten plattegrond genieten oefening of.,3527.76,0.09,317.5,3845.26,Betaald
6,INK2026-00006,7,2026-03-30,2026-04-29,Hoewel koken computer.,6612.6,0.21,1388.65,8001.25,Betaald
7,INK2024-00007,17,2024-10-21,2024-11-20,Kind geit verkopen druk scherp begin overvallen.,5382.48,0.21,1130.32,6512.8,Betaald
8,INK2023-00008,17,2023-11-22,2023-12-06,Tellen zacht gevaar modern broer.,6825.48,0.21,1433.35,8258.83,Achterstallig
9,INK2025-00009,14,2025-09-20,2025-10-20,Ding oranje rennen eis stoffig bureau gedrag.,7586.58,0.09,682.79,8269.37,Betaald
10,INK2024-00010,6,2024-08-01,2024-09-15,U daar gat lichaam.,5567.0,0.21,1169.07,6736.07,Betaald
11,INK2023-00011,20,2023-06-14,2023-06-28,Moment hut werelddeel trein ons grijs soms.,1940.99,0.21,407.61,2348.6,Betaald
12,INK2024-00012,5,2024-02-23,2024-03-24,Kind taal punt hoed zelfde schijnen.,386.67,0.21,81.2,467.87,Betaald
13,INK2024-00013,7,2024-04-07,2024-05-07,Speciaal test onder luisteren eten waarschijnlijk richting.,1156.93,0.21,242.96,1399.89,Achterstallig
14,INK2025-00014,11,2025-02-20,2025-03-06,Helder hoeveelheid jagen mits schoon.,931.54,0.21,195.62,1127.16,Betaald
15,INK2025-00015,20,2025-08-19,2025-09-02,Scherp mij antwoord openlijk.,7168.15,0.21,1505.31,8673.46,Betaald
16,INK2025-00016,17,2025-11-04,2025-12-04,Ding pistool morgen start eenzaam orde verstand.,4005.09,0.21,841.07,4846.16,Achterstallig
17,INK2025-00017,9,2025-10-06,2025-10-20,Proberen zout eend peper elektrisch ooit kracht.,5920.73,0.09,532.87,6453.6,Betaald
18,INK2025-00018,17,2025-04-23,2025-05-07,Voorbeeld totaal zingen uur nieuw hoofd.,2172.02,0.21,456.12,2628.14,Betaald
19,INK2024-00019,14,2024-12-22,2025-01-21,Ontvangen grap televisie oor wachten glimlach.,5793.55,0.09,521.42,6314.97,Betaald
20,INK2025-00020,15,2025-10-27,2025-11-26,Belangrijk snel afhangen de.,4453.5,0.21,935.24,5388.74,Betaald
21,INK2025-00021,15,2025-12-14,2026-01-28,Terwijl ouder gezicht ei groen opa broek.,2696.87,0.09,242.72,2939.59,Betaald
22,INK2024-00022,13,2024-11-19,2024-12-03,Boven nat betalen.,4924.61,0.09,443.21,5367.82,Betaald
23,INK2023-00023,1,2023-06-05,2023-07-20,Vliegtuig periode peper wij prinses fit dier.,4586.75,0.09,412.81,4999.56,Betaald
24,INK2024-00024,12,2024-05-22,2024-07-06,Open keuken ziel hoewel neer trui volgorde bibliotheek.,7407.36,0.21,1555.55,8962.91,Achterstallig
25,INK2025-00025,7,2025-06-16,2025-07-31,Hoofd minuut verstoppen heel.,6360.84,0.21,1335.78,7696.62,Achterstallig
26,INK2025-00026,15,2025-03-15,2025-04-29,Komen proberen vijver vergeven haan werk.,1637.6,0.09,147.38,1784.98,Achterstallig
27,INK2023-00027,18,2023-06-12,2023-07-12,Klok helder wijs vroeger.,628.59,0.21,132.0,760.59,Betaald
28,INK2023-00028,5,2023-02-13,2023-03-15,Lach donker waar zeer verdrietig.,2314.95,0.21,486.14,2801.09,Achterstallig
29,INK2023-00029,13,2023-03-22,2023-04-21,Sleutel trein plafond schoon dat gereedschap.,6702.06,0.21,1407.43,8109.49,Betaald
30,INK2024-00030,7,2024-10-12,2024-11-11,Aanval vergeten bijzonder liggen rest.,3149.16,0.21,661.32,3810.48,Achterstallig
31,INK2025-00031,20,2025-03-11,2025-03-25,Grijs klimmen belofte wonder plant.,7804.04,0.09,702.36,8506.4,Betaald
32,INK2023-00032,2,2023-10-20,2023-12-04,Vergelijkbaar gewoon schaap sok beer beer.,6496.74,0.09,584.71,7081.45,Betaald
33,INK2024-00033,19,2024-08-04,2024-08-18,Weer natuur zonder beest oom.,819.87,0.09,73.79,893.66,Betaald
34,INK2026-00034,15,2026-01-29,2026-02-12,Brandstof eerste conditie gewoon tamelijk binnenkort.,7234.62,0.21,1519.27,8753.89,Betaald
35,INK2026-00035,3,2026-02-26,2026-04-12,Aan dragen half boven.,5910.53,0.21,1241.21,7151.74,Achterstallig
36,INK2023-00036,19,2023-12-24,2024-01-07,Kop kleur bal partner les rennen.,1647.03,0.21,345.88,1992.91,Achterstallig
37,INK2024-00037,12,2024-03-21,2024-05-05,Neer wreed hut buiten.,3979.86,0.21,835.77,4815.63,Achterstallig
38,INK2023-00038,20,2023-01-15,2023-01-29,Rok lepel kamer uitnodigen dak.,1470.89,0.09,132.38,1603.27,Betaald
39,INK2023-00039,7,2023-09-23,2023-11-07,Zoals overleden wassen horen leiden taart.,1280.42,0.09,115.24,1395.66,Betaald
40,INK2025-00040,9,2025-06-28,2025-07-12,Nummer lezen per rest sport normaal.,5966.31,0.21,1252.93,7219.24,Achterstallig
41,INK2023-00041,16,2023-01-15,2023-03-01,Bel hotel stem hem dubbel binnenkort opa.,4441.01,0.21,932.61,5373.62,Betaald
